StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Sub Scale 2 _1,Sub Scale 2 _2,Sub Scale 2 _3,Sub Scale 2 _4,Sub Scale 2 _5,Sub Scale 2 _6,Sub Scale 2 _7,Sub Scale 2 _8," _1"," _2"," _3"," _4"," _5"," _6"," _7"," _8",Q8,Q9,Q10,Q11,Q12,Q13,SC0
2023-11-20 20:29:37,2023-11-20 20:32:28,IP Address,174.172.78.131,100,171,True,2023-11-20 20:32:29,R_2samMGYe4Pt3sUW,,,,,38.8579,-77.0602,anonymous,EN,,7,50,50,1,5’6”,120,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Slightly Liberal,Democrat,Post Grad,White,74
2023-11-20 20:33:20,2023-11-20 20:37:00,IP Address,104.33.240.224,100,219,True,2023-11-20 20:37:01,R_1DOl0lXBxb4DXnf,,,,,33.9263,-118.0034,anonymous,EN,,3,,,,,,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Female,No Military Experience,Slightly Conservative,Republican,"Some college, no degree",Hispanic or Latino,93
2023-11-20 20:49:09,2023-11-20 20:54:42,IP Address,172.56.153.218,100,333,True,2023-11-20 20:54:43,R_Or1v8UmO0BGeJtT,,,,,45.5375,-122.5989,anonymous,EN,8,4,245,425,20+,67,150,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Male,Veteran,Very Conservative,Republican,"Some college, no degree",White,87
2023-11-20 20:59:14,2023-11-20 21:07:15,IP Address,107.123.49.84,100,480,True,2023-11-20 21:07:15,R_8BRIek2fifIoCUV,,,,,40.8343,-73.9235,anonymous,EN,6,5,105,125,3,66,180,Neutral,Slightly Disagree,Neutral,Slightly Agree,Somewhat Agree,Somewhat Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neutral,Slightly Disagree,Somewhat Agree,Slightly Agree,Somewhat Agree,Slightly Agree,Slightly Agree,Male,Veteran,Slightly Conservative,Independent,Post Grad,Asian,93
2023-11-20 21:33:49,2023-11-20 21:38:40,IP Address,104.28.85.225,100,290,True,2023-11-20 21:38:41,R_1JXgPFgdwGack5F,,,,,33.745,-117.875,anonymous,EN,7,4,145,Not sure,14,66,130,Slightly Agree,Somewhat Disagree,Slightly Agree,Slightly Agree,Somewhat Agree,Somewhat Agree,Slightly Agree,Neutral,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Male,No Military Experience,Slightly Conservative,Independent,4 year degree,Asian,82
2023-11-20 21:34:24,2023-11-20 21:55:38,IP Address,47.144.208.200,100,1274,True,2023-11-20 21:55:39,R_1Hq7OGEi5dAvm9b,,,,,33.5674,-117.1758,anonymous,EN,,4,335,635,19,73,248,Slightly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Male,Active Duty,Moderate,Independent,"Some college, no degree",Hispanic or Latino,57
2023-11-20 21:57:16,2023-11-20 22:00:55,IP Address,68.131.9.231,100,218,True,2023-11-20 22:00:55,R_UMWxGEiemFMnZ3H,,,,,37.11,-76.5115,anonymous,EN,5,2,?,?,1,64inches,120lbs,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Female,No Military Experience,Liberal,Democrat,4 year degree,Hispanic or Latino,79
2023-11-20 20:24:36,2023-11-20 22:22:47,IP Address,45.26.21.185,100,7091,True,2023-11-20 22:22:48,R_1JFa8fSCnrKvJKn,,,,,38.8253,-97.6389,anonymous,EN,4,1,,,,,,Somewhat Disagree,Neutral,Slightly Agree,Slightly Agree,Strongly Agree,Neutral,Somewhat Disagree,Slightly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Male,Veteran,Moderate,Independent,Post Grad,Hispanic or Latino,72
2023-11-20 22:27:04,2023-11-20 22:36:41,IP Address,74.117.38.3,100,577,True,2023-11-20 22:36:42,R_1kY6zhq1fLtKhJj,,,,,36.1281,-109.607,anonymous,EN,,7 days,185,315,8,72,224,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Slightly Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Male,Veteran,Moderate,Democrat,High school,Other,97
2023-11-20 23:02:47,2023-11-20 23:07:23,IP Address,12.198.115.227,100,276,True,2023-11-20 23:07:24,R_SBsf7sXqUV2yv0l,,,,,47.1112,-122.5897,anonymous,EN,,7,225,325,15,70,176,Neutral,Neutral,Somewhat Disagree,Neutral,Slightly Disagree,Slightly Agree,Somewhat Agree,Neutral,Slightly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Slightly Agree,Somewhat Agree,Neutral,Male,Active Duty,Moderate,Independent,4 year degree,White,77
2023-11-21 00:43:46,2023-11-21 00:48:51,IP Address,76.39.21.101,100,305,True,2023-11-21 00:48:52,R_2PtaljiG9SekGPq,,,,,21.4082,-157.7396,anonymous,EN,6,4 days a week,90lbs,200lbs,10,5’5”,120lbs,Slightly Agree,Somewhat Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Female,Active Duty,Slightly Conservative,Republican,2 year degree,White,75
2023-11-20 21:21:49,2023-11-21 02:44:35,IP Address,45.51.209.102,100,19366,True,2023-11-21 02:44:36,R_1U1giMPn2Zw7AMF,,,,,33.6056,-117.2662,anonymous,EN,7,4,65lb,95lb,none,5’4,161,Neutral,Neutral,Slightly Agree,Somewhat Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Slightly Disagree,Neutral,Slightly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Female,No Military Experience,,Democrat,,,76
2023-11-21 06:05:55,2023-11-21 06:18:00,IP Address,73.57.38.104,100,725,True,2023-11-21 06:18:01,R_2sRycjZz2xVibzc,,,,,24.5615,-81.7818,anonymous,EN,7,5,20,20,0,5'2,210,Slightly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Slightly Agree,Slightly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Female,No Military Experience,Moderate,Independent,4 year degree,Hispanic or Latino,96
2023-11-21 08:16:03,2023-11-21 08:22:33,IP Address,67.134.205.17,100,389,True,2023-11-21 08:22:34,R_2whn1cyZ82KL3W4,,,,,42.3737,-71.1284,anonymous,EN,6,3 days a week,0,0,0,64 inches,150,Strongly Disagree,Strongly Agree,Neutral,Slightly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Slightly Agree,Neutral,Slightly Agree,Neutral,Neutral,Slightly Disagree,Slightly Agree,Slightly Disagree,Female,Veteran,Moderate,Independent,"Some college, no degree",Hispanic or Latino,84
2023-11-21 09:13:25,2023-11-21 09:21:32,IP Address,107.143.92.95,100,487,True,2023-11-21 09:21:33,R_3fBrxE1NfSwTlYf,,,,,25.7703,-80.2072,anonymous,EN,5,every other day,80 pounds,60 pounds,35,"5' 8""",200 pounds,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Veteran,Slightly Conservative,Independent,High school,Mixed,96
2023-11-21 09:41:21,2023-11-21 09:46:14,IP Address,98.203.79.57,100,292,True,2023-11-21 09:46:15,R_3Dc3zZWRCt3VZxX,,,,,25.9972,-80.3259,anonymous,EN,5,4,,,,"69""",210,Slightly Agree,Somewhat Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Male,No Military Experience,Slightly Conservative,Republican,4 year degree,Hispanic or Latino,86
2023-11-21 10:06:07,2023-11-21 10:09:48,IP Address,45.51.209.102,100,221,True,2023-11-21 10:09:49,R_VU0jdoITdNoQ7AJ,,,,,33.6056,-117.2662,anonymous,EN,7,5,225,360,7,71The two hands,200,Slightly Disagree,Somewhat Disagree,Somewhat Disagree,Slightly Agree,Somewhat Agree,Somewhat Agree,Slightly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Male,Veteran,Moderate,Democrat,"Some college, no degree",Hispanic or Latino,78
2023-11-21 10:02:51,2023-11-21 10:11:48,IP Address,47.156.25.57,100,536,True,2023-11-21 10:11:48,R_1KeGBrlIjJwk6yp,,,,,33.6056,-117.2662,anonymous,EN,5,7,,,,"63 ",120,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Somewhat Disagree,Female,No Military Experience,Slightly Conservative,Independent,"Some college, no degree",Hispanic or Latino,92
2023-11-21 10:15:33,2023-11-21 10:19:32,IP Address,104.33.240.224,100,238,True,2023-11-21 10:19:33,R_1et0AewkyovaN15,,,,,33.9263,-118.0034,anonymous,EN,,3,250 lbs,350 lbs,5,5’-9”,215 lbs,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Male,No Military Experience,Slightly Conservative,Republican,4 year degree,Hispanic or Latino,95
2023-11-20 20:59:49,2023-11-21 10:43:46,IP Address,47.153.9.14,100,49437,True,2023-11-21 10:43:47,R_2tJ5K2O6vlQb39D,,,,,33.5631,-117.2738,anonymous,EN,,2,"Don’t know ",Don’t jnow,0,5’3,203,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Female,No Military Experience,Slightly Conservative,Republican,2 year degree,Hispanic or Latino,94
2023-11-20 23:49:13,2023-11-21 13:55:11,IP Address,70.92.44.130,100,50757,True,2023-11-21 13:55:12,R_1po05Kd1FnhUAFK,,,,,32.988,-96.6884,anonymous,EN,,2,40,,,,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Female,Veteran,Moderate,Democrat,4 year degree,Hispanic or Latino,82
2023-11-21 14:01:52,2023-11-21 14:04:19,IP Address,70.236.194.45,100,146,True,2023-11-21 14:04:20,R_9EMK1I1HXABbIFH,,,,,33.1371,-96.7488,anonymous,EN,6,0,135,100,1,72,205,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Veteran,Moderate,Independent,Post Grad,White,76
2023-11-21 14:54:43,2023-11-21 15:00:32,IP Address,75.144.192.25,100,349,True,2023-11-21 15:00:33,R_2WVyprkJCVqxTEP,,,,,41.4568,-72.8245,anonymous,EN,,5,275,400,12,69,200,Slightly Disagree,Neutral,Slightly Agree,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Male,Veteran,Moderate,Independent,2 year degree,White,76
